,Monitoring Indicators(Light Signal),Monitoring indicators(Total Score),Composite Leading Index(point),Trend-adjusted Leading Index(point),Composite Coincident Index(point),Trend-adjusted Coincident Index(point),Composite Lagging Index(point),Trend-adjusted Lagging Index(point)
,Actual Number,Actual Number,Actual Number,Actual Number,Actual Number,Actual Number,Actual Number,Actual Number
1982-01,,,12.26,99.84,13.1,106.67,13.1,106.68
1982-02,,,12.32,99.42,12.86,103.83,13.34,107.69
1982-03,,,12.36,98.91,12.66,101.33,13.45,107.68
1982-04,,,12.36,98.07,12.51,99.24,13.48,106.96
1982-05,,,12.33,97,12.4,97.56,13.46,105.87
1982-06,,,12.28,95.82,12.35,96.31,13.41,104.64
1982-07,,,12.23,94.6,12.35,95.49,13.34,103.2
1982-08,,,12.21,93.58,12.4,95.03,13.23,101.45
1982-09,,,12.22,92.9,12.48,94.87,13.07,99.37
1982-10,,,12.31,92.74,12.59,94.84,12.89,97.1
1982-11,,,12.49,93.3,12.72,94.99,12.68,94.72
1982-12,,,12.78,94.65,12.88,95.32,12.49,92.47
1983-01,,,13.17,96.65,13.05,95.77,12.36,90.68
1983-02,,,13.59,98.87,13.25,96.38,12.32,89.61
1983-03,,,14.02,101.06,13.44,96.92,12.4,89.43
1983-04,,,14.44,103.17,13.67,97.72,12.57,89.87
1983-05,,,14.78,104.73,13.94,98.78,12.81,90.73
1983-06,,,15,105.36,14.23,99.96,13.07,91.79
1983-07,,,15.08,105.03,14.51,101.02,13.34,92.92
1983-08,,,15.04,103.81,14.76,101.92,13.61,93.99
1983-09,,,15.06,103.12,14.99,102.64,13.87,94.94
1983-10,,,15.18,103.04,15.2,103.2,14.11,95.77
1983-11,,,15.33,103.24,15.42,103.81,14.33,96.46
1983-12,,,15.51,103.61,15.65,104.52,14.54,97.13
1984-01,,42,15.73,104.21,15.9,105.34,14.79,98
1984-02,,39,15.97,105.02,16.12,105.99,15.13,99.5
1984-03,,37,16.19,105.62,16.3,106.39,15.52,101.29
1984-04,,34,16.32,105.7,16.43,106.43,15.89,102.91
1984-05,,37,16.34,105.06,16.52,106.19,16.21,104.2
1984-06,,30,16.25,103.75,16.55,105.65,16.48,105.18
1984-07,,30,16.11,102.1,16.53,104.75,16.71,105.94
1984-08,,27,15.95,100.4,16.45,103.53,16.92,106.53
1984-09,,25,15.82,98.92,16.33,102.11,17.11,106.97
1984-10,,28,15.76,97.86,16.21,100.67,17.26,107.17
1984-11,,21,15.76,97.2,16.1,99.31,17.35,107.02
1984-12,,21,15.81,96.84,16.01,98.05,17.39,106.51
1985-01,,16,15.86,96.5,15.93,96.88,17.39,105.8
1985-02,,19,15.82,95.55,15.82,95.59,17.41,105.18
1985-03,,14,15.68,94.08,15.65,93.9,17.48,104.9
1985-04,,14,15.49,92.3,15.49,92.26,17.56,104.61
1985-05,,14,15.29,90.42,15.35,90.79,17.61,104.18
1985-06,,12,15.12,88.75,15.26,89.58,17.62,103.47
1985-07,,12,15.03,87.61,15.21,88.64,17.56,102.34
1985-08,,13,15.09,87.26,15.26,88.24,17.48,101.08
1985-09,,14,15.28,87.7,15.42,88.48,17.4,99.85
1985-10,,15,15.62,88.92,15.7,89.37,17.33,98.63
1985-11,,15,16.06,90.71,16.11,90.95,17.26,97.46
1985-12,,22,16.57,92.82,16.62,93.05,17.22,96.43
1986-01,,21,17.09,94.89,17.17,95.35,17.22,95.65
1986-02,,19,17.51,96.46,17.68,97.35,17.27,95.14
1986-03,,33,17.81,97.27,18.09,98.79,17.38,94.9
1986-04,,28,17.99,97.37,18.42,99.73,17.56,95.08
1986-05,,29,18.07,97.02,18.72,100.48,17.75,95.27
1986-06,,37,18.12,96.46,19,101.1,17.91,95.31
1986-07,,34,18.16,95.86,19.25,101.57,18.04,95.21
1986-08,,39,18.25,95.52,19.46,101.82,18.17,95.1
1986-09,,36,18.41,95.56,19.7,102.25,18.32,95.07
1986-10,,36,18.65,96,20,102.96,18.49,95.19
1986-11,,38,18.95,96.77,20.32,103.77,18.7,95.49
1986-12,,37,19.27,97.65,20.63,104.52,18.92,95.87
1987-01,,36,19.61,98.61,20.89,105.07,19.16,96.33
1987-02,,40,19.93,99.49,21.1,105.32,19.42,96.96
1987-03,,32,20.22,100.19,21.23,105.2,19.71,97.7
1987-04,,41,20.48,100.79,21.28,104.75,20.01,98.46
1987-05,,39,20.71,101.24,21.31,104.16,20.3,99.23
1987-06,,38,20.9,101.5,21.32,103.58,20.57,99.9
1987-07,,34,21.03,101.51,21.36,103.1,20.79,100.37
1987-08,,36,21.07,101.14,21.4,102.72,20.95,100.54
1987-09,,37,21.08,100.61,21.44,102.34,21.04,100.39
1987-10,,31,21.06,99.97,21.47,101.93,21.08,100.06
1987-11,,35,21.04,99.39,21.5,101.55,21.1,99.67
1987-12,,32,21.11,99.2,21.52,101.16,21.13,99.32
1988-01,,29,21.27,99.51,21.53,100.72,21.2,99.18
1988-02,,33,21.52,100.21,21.53,100.26,21.14,98.47
1988-03,,28,21.81,101.17,21.51,99.75,21.11,97.88
1988-04,,27,22.15,102.33,21.52,99.4,21.09,97.4
1988-05,,31,22.5,103.52,21.57,99.23,21.11,97.14
1988-06,,30,22.8,104.53,21.63,99.15,21.18,97.1
1988-07,,30,23.03,105.22,21.71,99.19,21.3,97.31
1988-08,,31,23.12,105.26,21.8,99.26,21.46,97.74
1988-09,,28,23.1,104.85,21.89,99.38,21.66,98.31
1988-10,,29,23.03,104.24,22.01,99.62,21.88,99.01
1988-11,,33,22.97,103.68,22.15,99.95,22.1,99.71
1988-12,,32,22.91,103.1,22.28,100.25,22.29,100.29
1989-01,,36,22.87,102.66,22.37,100.41,22.45,100.76
1989-02,,34,22.87,102.39,22.47,100.6,22.57,101.04
1989-03,,40,22.89,102.23,22.57,100.82,22.66,101.17
1989-04,,39,22.92,102.14,22.65,100.9,22.75,101.38
1989-05,,34,22.97,102.13,22.67,100.78,22.9,101.79
1989-06,,30,23.04,102.2,22.65,100.46,23.09,102.43
1989-07,,32,23.1,102.23,22.6,100.02,23.31,103.18
