,Manufacturing PMI,New Orders,Production,Employment,Supplier Deliveries(%),Inventories(%),Customers' Inventories(%),Prices(%),Backlog of Orders(%),Exports(%),Imports(%),Future Outlooks(%),Manufacturing PMI (Seasonally Adjusted)(%),New Orders(Seasonally Adjusted)(%),Production(Seasonally Adjusted)(%),Employment(Seasonally Adjusted)(%)
,Actual Number,Actual Number,Actual Number,Actual Number,Actual Number,Actual Number,Actual Number,Actual Number,Actual Number,Actual Number,Actual Number,Actual Number,Actual Number,Actual Number,Actual Number,Actual Number
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
2012-07,47.3,44.4,41.8,50.5,49.1,50.7,52.1,41.9,46.3,47,47.4,28.8,47.1,45.5,41.6,48.5
2012-08,47.6,46.4,48.2,49,44.3,50,50.3,54.1,44.6,43.3,45.5,32.8,48.2,47.4,49.8,49.7
2012-09,47.7,47.2,44.9,50.9,46.6,49,46.5,54.3,42.5,49.1,45.3,33,49.9,53.2,50.3,50.5
2012-10,46.7,42.5,45.9,50.9,46.8,47.5,47.2,49.8,43.1,44.8,44.4,31.7,49.3,48,52.6,51.6
2012-11,49.6,52.4,51.1,49.9,47.9,46.5,47.7,46.3,47,46.8,43.9,40.3,51.7,55.8,55.7,52.8
2012-12,51.3,52.6,54.8,53.3,48.2,47.8,47.6,52.8,46.6,47.9,50.4,50.4,55,62.1,63,53.9
2013-01,57.7,66.6,62.6,54.8,51.5,53,49.2,60,53.7,59.1,57.3,61.4,55.9,63.1,54,57.8
2013-02,50,54.5,44.8,51.6,50,49.2,45.5,62.9,50.3,52.8,49.6,67.7,54.5,57.7,60.2,55.4
2013-03,62.4,69.6,73.7,57.2,53.9,57.5,47.5,56.1,56.3,65.2,62.5,65.3,52.9,50.9,48.3,54
2013-04,56.8,56.7,60,54.6,53.3,59.6,53.6,38.7,50.7,53.5,56.4,57.1,53,47.9,51.2,52.7
2013-05,55.3,55.5,56.3,54.2,54.9,55.7,50.3,38.7,49.9,52.1,52.3,54.1,53,50.6,51.6,52.3
2013-06,53.6,51.4,55.5,56.6,50.1,54.3,51.9,40.4,46.2,46.3,48,51.7,52.8,50.8,53.1,55.5
2013-07,52.6,52.6,55.8,54.3,48.3,51.9,51.5,49.1,47.7,48.1,47.7,51,52.8,54.4,57.2,52.2
2013-08,52.6,55.1,56.4,52.6,49.6,49.5,45.7,55.7,46.3,49.8,46.5,53.3,53.3,56.5,57.8,53.2
2013-09,52.6,50.7,55.5,54.5,52.6,49.4,46.1,55.7,45.8,48.7,52.2,51,54.5,55.8,60.8,54
2013-10,51.6,51.2,52.7,52.5,51.9,49.7,43.6,54,47.9,47.8,47.6,47.3,53.8,55.8,58.5,53.1
2013-11,52,52.7,53.6,53.7,50.8,49.3,46.9,48.4,45.7,46.9,48.2,48.3,54.5,57.1,58.5,56.7
2013-12,53.6,57,58,53.6,52.1,47.5,45.4,52.6,46.9,53.2,51.3,54.8,54,58.7,57.3,54.4
2014-01,54.1,55.3,56.7,51.7,52.9,53.6,46.5,57.8,52,52.6,53,65.1,53.8,57.2,50.3,55.2
2014-02,50.3,48.8,43.6,52,54.4,52.5,45.8,55.5,48.7,51.3,49.9,64.4,56,53.8,64.5,54.6
2014-03,60.6,65.7,64.6,60.4,54.2,57.9,47.2,53.8,60.1,61.4,61.2,63.7,56.2,56.8,56.2,55.9
